Date,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_all_fuels
2022-04-01,611.912978,168440.136733,13515.287889,142165.76835,534.602193,122190.119464,1407.136828,39780.593369,-1456.449521,457421.119053,944610.2273360001
2022-04-02,613.056578,197025.259993,48457.995641,305763.585239,1050.583857,122073.947943,1326.41987,91422.874859,-1555.235679,161143.5487,927322.037001
2022-04-03,587.440227,152411.626798,14369.782685,164125.985676,1259.852762,121809.807504,1274.668263,57284.227384,-1412.610451,448868.831809,960579.6126570001
2022-04-04,591.500682,180121.675004,75902.205892,314520.705153,1252.90723,121230.52551,1659.6242,58244.800696,-1322.896087,242645.553664,994846.6019439999
2022-04-05,572.086105,190314.448429,89481.582772,311401.572082,1412.851512,121751.937141,1275.662932,42900.214493,-1363.487738,344277.364283,1102024.232011
2022-04-06,564.151472,155550.782815,26463.452869,211401.368364,1403.936654,120980.233233,1241.086245,65432.967009,-1535.018018,431191.73772,1012694.6983630001
2022-04-07,608.909898,130475.584796,31162.810583,205357.615691,1467.591154,121886.226369,1749.621771,89073.666092,-1627.537608,337249.991611,917404.4803569999
2022-04-08,554.907846,170392.31288,42972.507132,267559.366098,1438.547804,121673.017355,1470.168581,95217.980764,-1885.355198,209299.666619,908693.119881
2022-04-09,563.290204,141489.426665,18255.927805,102372.507499,1496.134579,121451.412399,1332.192188,49307.957757,-1664.102117,507383.194311,941987.94129
2022-04-10,528.13508,129638.912032,48146.178075,148164.894567,1659.699457,103926.246039,1775.929808,62041.512413,-1656.09924,478108.665483,972334.0737139999
2022-04-11,533.951686,176161.739771,97371.404023,297363.538837,1730.08302,91113.80662,1427.546756,83443.375189,-1979.010787,338551.20617,1085717.6412850001
2022-04-12,502.62825,182397.114021,55246.719432,250140.058033,1634.497689,92029.599085,1442.973832,31418.511275,-1509.999911,495933.925503,1109236.027209
2022-04-13,501.019531,179729.76882,76425.25994,301955.453762,1527.379762,92052.472238,1525.274561,64627.959634,-1769.612382,380322.568001,1096897.5438670001
2022-04-14,568.191572,146970.988369,36998.064296,275039.095511,1367.564787,92521.475513,1038.897163,78005.032906,-1253.754885,362026.720502,993282.2757340001
2022-04-15,603.685472,177255.656669,38914.966231,275648.219424,1417.825536,92534.181077,1438.155751,56482.699049,-1645.460039,373274.189811,1015924.1189810002
2022-04-16,614.964596,170904.979105,66661.044805,332666.458913,1478.673586,92465.014684,1419.282765,58948.548056,-1395.605394,310263.889505,1034027.2506210003
2022-04-17,617.300711,185069.394927,77588.06827,399163.368598,1357.767478,92335.923407,1206.760698,80439.635298,-1281.831916,163417.471408,999913.8588789998
2022-04-18,618.517738,191115.989634,29582.850312,285083.032239,1110.376213,91556.353176,1291.872257,83344.204012,-1527.916147,325855.62007,1008030.8995039999
2022-04-19,610.966029,179364.273095,18254.068556,146846.141713,1137.692867,92387.271923,1366.774358,25537.348066,-1689.801863,501648.231691,965462.9664350001
2022-04-20,578.503374,159663.466664,64467.915841,263207.156767,1231.951621,91067.580697,1513.40614,57941.287272,-1592.436609,444795.601292,1082874.433059
2022-04-21,555.764004,177000.103841,54125.135249,253951.536534,1126.826708,92338.2447,1399.164444,61361.292155,-1767.823082,499950.221911,1140040.4664639998
2022-04-22,635.02679,183816.027537,53280.418631,219953.139404,1155.090302,91923.445893,1211.518894,24270.400927,-1408.21796,563242.169202,1138079.01962
2022-04-23,657.469789,172498.910003,33668.196428,200834.464005,954.015812,92410.87755,1209.875386,51487.12717,-1373.929892,520948.549809,1073295.5560599999
2022-04-24,621.410164,190099.523835,50177.495782,261145.971511,922.085717,92397.721662,1153.413966,60745.658199,-1408.190301,401433.249285,1057288.33982
2022-04-25,647.183819,170856.568348,35318.179531,250856.226725,735.143996,92110.952202,1351.861621,51228.398823,-1434.880354,410634.798028,1012304.4327390001
2022-04-26,649.377597,174135.485182,39920.328466,313556.741394,565.032342,92430.998589,1651.350357,78497.765283,-1656.667304,250608.347489,950358.7593950001
2022-04-27,644.223585,168495.208703,28444.856254,236754.567585,586.88142,92109.894391,1819.786467,53282.594642,-2221.432668,421538.337353,1001454.9177320001
2022-04-28,1859.020132,158449.051168,36377.357115,210989.930407,571.252298,92431.135099,1601.139379,68351.469563,-1850.256711,504864.645537,1073644.7439869998
2022-04-29,1818.704578,156776.752914,36550.628223,249664.595648,716.6252,92395.969019,1697.675797,62783.924757,-2348.689613,517272.228004,1117328.414527
2022-04-30,2339.525643,179379.651061,63232.019402,368936.604924,1070.004336,92302.223361,1442.50045,78335.837486,-1643.259899,316307.846305,1101702.953069
2022-05-01,2008.023443,186574.466525,34402.642826,286361.762448,645.38354,92099.062118,1454.691415,48174.686231,-1723.514168,445433.988126,1095431.192504
2022-05-02,2279.689714,167419.171329,49872.12931,304182.853031,978.336242,91123.123827,2066.884031,65581.018278,-1989.094006,500107.053278,1181621.165034
2022-05-03,2435.757538,160686.776697,84871.066578,423510.39307,990.887133,81236.349339,1446.035756,60141.401077,-1738.989794,301795.524489,1115375.2018829999
2022-05-04,2671.129038,168034.00351,54871.136075,399827.666741,1028.67192,81230.793955,1403.073894,54757.955314,-1866.131808,405922.854378,1167881.153017
2022-05-05,2659.483136,169685.99369,80441.896226,397091.049685,1091.074216,82811.24195,2204.910681,70711.521159,-2291.989847,347996.116949,1152401.297845
2022-05-06,2725.461732,188251.105428,101134.542558,462584.078172,1236.712704,91198.110779,1398.14054,94433.501722,-1972.834582,214492.440025,1155481.2590779997
2022-05-07,2747.536302,177653.916018,76096.961537,420764.182948,1397.286499,91169.148179,1341.600762,87332.51642,-1502.817864,371945.920147,1228946.250948
2022-05-08,2495.358793,174496.013631,65627.474904,383798.434324,1401.583459,90914.140336,1613.790659,93099.475404,-1640.460296,484354.539502,1296160.3507160002
2022-05-09,2390.125465,163710.898349,99682.103529,426173.043193,1339.528665,90741.56426,2296.591498,81207.57577,-2231.475102,508737.590861,1374047.546488
2022-05-10,2361.482106,153530.113271,106972.072019,424973.353393,1257.146882,90768.019798,2080.18394,67016.302338,-2508.599111,500822.305554,1347272.3801900002
2022-05-11,2440.218865,149511.057558,110384.234361,441814.15551,1207.036237,90835.92509,1685.976436,62770.941131,-2303.581178,442575.67126,1300921.63527
2022-05-12,2531.40308,148137.855481,101195.364686,395435.301031,1391.241193,90805.154298,2156.052241,76060.83656,-2070.77026,454954.261455,1270596.699765
2022-05-13,2591.965659,158930.069759,147729.227246,455883.981772,1088.464263,90809.609699,2824.127358,91011.801457,-2966.747821,296814.865194,1244717.3645859999
2022-05-14,2540.485014,169866.734436,125631.436967,476537.23829,2022.9678,90829.526209,1709.51377,95802.677179,-2116.506696,274362.111929,1237186.184898
2022-05-15,2510.246567,154528.250591,100205.873942,442326.780434,2114.975084,99531.071885,1784.874651,96583.352367,-1907.962793,371828.930547,1269506.393275
2022-05-16,2390.852461,185328.501815,124120.948706,493032.207541,1721.151488,105733.095872,1715.485592,90882.604185,-2050.781017,309709.480088,1312583.546731
2022-05-17,2564.893908,178519.366266,93388.787996,380534.496747,2039.54661,106918.422405,1942.169157,61581.165924,-2089.58227,508296.340677,1333695.6074199998
2022-05-18,2495.519082,192697.59976,112309.703643,406100.738763,2055.833926,112212.218944,2389.782664,94560.068117,-2587.65582,427438.728215,1349672.5372940002
2022-05-19,1384.123269,182885.311371,87502.963207,425669.838767,2240.781504,117122.372131,1617.944852,97054.178996,-1990.669966,446186.239442,1359673.083573
2022-05-20,667.481748,181688.992786,117729.995734,407018.805479,2121.60559,120353.930384,2187.777327,89129.457007,-2157.090634,452883.325685,1371624.281106
2022-05-21,626.073944,171331.712765,92474.953109,363647.147566,2113.8773,120492.076187,1392.946716,77646.656338,-2269.368757,485151.560803,1312607.635971
2022-05-22,537.689269,148782.146987,66875.110961,350364.827189,1993.616568,120838.295605,1881.703501,60297.649905,-1801.439605,302611.303529,1052380.903909
2022-05-23,575.909275,151480.214806,51744.556345,411971.418694,2074.542981,120848.869169,1511.5207,56958.653217,-1930.241993,300579.206649,1095814.6498429999
2022-05-24,506.710412,142520.836964,63523.099052,380199.759948,2053.998998,120942.480915,1774.889771,48397.89356,-2322.735824,323051.56826,1080648.502056
